suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,13,L3,0.9580250892001704,0.306911986443698,4.744217571640013,1.0,2.0,1.0,0.12060638664775121,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,14,L3,0.6327115286647567,4.363636920784796,4.363636920784796,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,14,L3,0.7543643098837135,2.4476955284208257,4.363636920784796,0.0,1.0,1.0,0.06082639060947842,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,14,L3,0.9699342953092279,0.23301084280249137,4.363636920784796,1.0,2.0,1.0,0.11240758888149043,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,14,L3,0.9699342953092279,0.23301084280249137,4.363636920784796,1.0,2.0,1.0,0.11240758888149043,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,15,L3,0.5707034277209979,4.518652154894252,4.518652154894252,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,15,L3,0.7177874171058577,2.3617966569845334,4.518652154894252,0.0,1.0,1.0,0.07354199469242989,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,15,L3,0.9609669443753496,0.24399789091477325,4.518652154894252,1.0,2.0,1.0,0.1300878388847839,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,15,L3,0.9609669443753496,0.24399789091477325,4.518652154894252,1.0,2.0,1.0,0.1300878388847839,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,16,L3,0.6007705600541072,4.264323681755056,4.264323681755056,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,16,L3,0.7712464946161196,1.9033155681749303,4.264323681755056,0.0,1.0,1.0,0.08523796728100619,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,16,L3,0.9590738177113629,0.27383278563540364,4.264323681755056,1.0,2.0,1.0,0.11943441921908522,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,16,L3,0.9590738177113629,0.27383278563540364,4.264323681755056,1.0,2.0,1.0,0.11943441921908522,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,17,L3,0.6088758704810707,5.210641266801591,5.210641266801591,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,17,L3,0.7718971348864766,2.3970474988549593,5.210641266801591,0.0,1.0,1.0,0.08151063220270294,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,17,L3,0.9711581221179344,0.24090117348033957,5.210641266801591,1.0,2.0,1.0,0.12076075054562123,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,17,L3,0.9711581221179344,0.24090117348033957,5.210641266801591,1.0,2.0,1.0,0.12076075054562123,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,18,L3,0.5788433656881259,4.794271696261321,4.794271696261321,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,18,L3,0.746756411931467,2.2345987623176273,4.794271696261321,0.0,1.0,1.0,0.08395652312167057,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,18,L3,0.9532525964545435,0.32313913146857953,4.794271696261321,1.0,2.0,1.0,0.12480307692213921,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,18,L3,0.9532525964545435,0.32313913146857953,4.794271696261321,1.0,2.0,1.0,0.12480307692213921,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,19,L3,0.6077225321852799,4.203407400224975,4.203407400224975,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,19,L3,0.7437441923094162,2.2436938079576043,4.203407400224975,0.0,1.0,1.0,0.06801083006206815,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,19,L3,0.9680911188167763,0.2146390813425023,4.203407400224975,1.0,2.0,1.0,0.1201228622104988,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,19,L3,0.9680911188167763,0.2146390813425023,4.203407400224975,1.0,2.0,1.0,0.1201228622104988,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,20,L3,0.6161349496153773,4.4449316103506185,4.4449316103506185,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,20,L3,0.7357268973825366,2.562705403417576,4.4449316103506185,0.0,1.0,1.0,0.059795973883579656,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,20,L3,0.9701272236237375,0.21968947487347426,4.4449316103506185,1.0,2.0,1.0,0.1179974246694534,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,20,L3,0.9701272236237375,0.21968947487347426,4.4449316103506185,1.0,2.0,1.0,0.1179974246694534,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,21,L3,0.592909226824719,3.9108130525092966,3.9108130525092966,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,21,L3,0.7251655236637288,2.1587287168502978,3.9108130525092966,0.0,1.0,1.0,0.06612814841950487,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,21,L3,0.9645269787220107,0.2094825275915356,3.9108130525092966,1.0,2.0,1.0,0.12387258396576388,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,21,L3,0.9645269787220107,0.2094825275915356,3.9108130525092966,1.0,2.0,1.0,0.12387258396576388,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,22,L3,0.6239909987311276,4.790675015387564,4.790675015387564,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,22,L3,0.7662029106250535,2.4258955435031377,4.790675015387564,0.0,1.0,1.0,0.07110595594696295,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,22,L3,0.9635546179797928,0.30070660234921626,4.790675015387564,1.0,2.0,1.0,0.1131878730828884,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,22,L3,0.9635546179797928,0.30070660234921626,4.790675015387564,1.0,2.0,1.0,0.1131878730828884,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,23,L3,0.5919405095942719,4.9831983660605506,4.9831983660605506,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,23,L3,0.7470936861651141,2.4470754509295682,4.9831983660605506,0.0,1.0,1.0,0.07757658828542108,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,23,L3,0.9682711855745252,0.23687519847923474,4.9831983660605506,1.0,2.0,1.0,0.12544355866008441,37
