suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,12,L4,0.9363977243067463,0.14757775822047625,2.179714794672695,1.0,1.0,1.0,0.21859924350286838,7
symbolic,symbolic_generation,generated_variable,False,Oracle,12,L4,0.9363977243067463,0.14757775822047625,2.179714794672695,1.0,1.0,1.0,0.21859924350286838,7
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,13,L4,0.4976220054294971,3.133717784418096,3.133717784418096,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,13,L4,0.5097574824772062,2.9852191300540594,3.133717784418096,0.0,1.0,1.0,0.00606773852385456,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,13,L4,0.9490741377255018,0.16655861606863467,3.133717784418096,1.0,1.0,1.0,0.22572606614800234,7
symbolic,symbolic_generation,generated_variable,False,Oracle,13,L4,0.9490741377255018,0.16655861606863467,3.133717784418096,1.0,1.0,1.0,0.22572606614800234,7
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,14,L4,0.5081709338578516,2.846890398827708,2.846890398827708,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,14,L4,0.5109492646271279,2.81541561711375,2.846890398827708,0.0,1.0,1.0,0.0013891653846381247,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,14,L4,0.9414745732575294,0.18285311837044677,2.846890398827708,1.0,1.0,1.0,0.21665181969983888,7
symbolic,symbolic_generation,generated_variable,False,Oracle,14,L4,0.9414745732575294,0.18285311837044677,2.846890398827708,1.0,1.0,1.0,0.21665181969983888,7
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,15,L4,0.5198533425634455,2.2160312525998336,2.2160312525998336,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,15,L4,0.5180019577470724,2.232526820341732,2.2160312525998336,0.0,1.0,1.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,15,L4,0.9289522576993146,0.18350153398241884,2.2160312525998336,1.0,1.0,1.0,0.20454945756793452,7
symbolic,symbolic_generation,generated_variable,False,Oracle,15,L4,0.9289522576993146,0.18350153398241884,2.2160312525998336,1.0,1.0,1.0,0.20454945756793452,7
