suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates,auc,selected_feature
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,10,real,0.838264780527316,0.19294049234770821,0.2652663824142401,1.0,1.0,1.0,0.023958688544059803,29,0.9712121212121212,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,10,real,0.838264780527316,0.19294049234770821,0.2652663824142401,1.0,1.0,1.0,0.023958688544059803,29,0.9712121212121212,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,10,real,0.838264780527316,0.19294049234770821,0.2652663824142401,1.0,1.0,1.0,0.023958688544059803,29,0.9712121212121212,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,11,real,0.7442312418273603,0.34366839739841293,0.34366839739841293,0.0,0.0,0.0,0.0,29,0.9242165242165241,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,11,real,0.8598801279203914,0.16295279717474886,0.34366839739841293,1.0,1.0,1.0,0.05782444304651552,29,0.9866096866096867,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,11,real,0.8598801279203914,0.16295279717474886,0.34366839739841293,1.0,1.0,1.0,0.05782444304651552,29,0.9866096866096867,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,11,real,0.8598801279203914,0.16295279717474886,0.34366839739841293,1.0,1.0,1.0,0.05782444304651552,29,0.9866096866096867,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,11,real,0.8598801279203914,0.16295279717474886,0.34366839739841293,1.0,1.0,1.0,0.05782444304651552,29,0.9866096866096867,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,12,real,0.7942680856644224,0.2590207488488958,0.2590207488488958,0.0,0.0,0.0,0.0,29,0.9570512820512821,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,12,real,0.8968947368308829,0.11495804238235639,0.2590207488488958,1.0,1.0,1.0,0.05131332558323026,29,0.9926282051282052,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,12,real,0.8968947368308829,0.11495804238235639,0.2590207488488958,1.0,1.0,1.0,0.05131332558323026,29,0.9926282051282052,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,12,real,0.8968947368308829,0.11495804238235639,0.2590207488488958,1.0,1.0,1.0,0.05131332558323026,29,0.9926282051282052,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,12,real,0.8968947368308829,0.11495804238235639,0.2590207488488958,1.0,1.0,1.0,0.05131332558323026,29,0.9926282051282052,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,13,real,0.7857703288179424,0.27263649863736866,0.27263649863736866,0.0,0.0,0.0,0.0,29,0.9536052009456264,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,13,real,0.8775236556559805,0.13957041904752318,0.27263649863736866,1.0,1.0,1.0,0.045876663419019026,29,0.989952718676123,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,13,real,0.8775236556559805,0.13957041904752318,0.27263649863736866,1.0,1.0,1.0,0.045876663419019026,29,0.989952718676123,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,13,real,0.8775236556559805,0.13957041904752318,0.27263649863736866,1.0,1.0,1.0,0.045876663419019026,29,0.989952718676123,worst smoothness
